run_id,expr,canonical,status,coverage,usable_days,mean_ic,icir,mean_rank_ic,rank_icir,positive_rank_ic_ratio,turnover_proxy,quantile_spread,train_mean_rank_ic,train_rank_icir,test_mean_rank_ic,test_rank_icir,score,error,created_at
20240101_20260430_200_500,"Sub(Rank(TsMean($ret_1d,30)),Rank(TsMean($gap_ret,30)))","Sub(Rank(TsMean($ret_1d,30)),Rank(TsMean($gap_ret,30)))",OK,0.9367953321364453,527,-0.029219257801202478,-0.21972395098598546,-0.06703622478211783,-0.4778657655786455,0.33206831119544594,0.05631704725956632,-0.003422138544711915,-0.06990544370035467,-0.46105549602741525,-0.05985354923512232,-0.5625084955187057,0.03366812993170344,,2026-04-27 12:23:00
20240101_20260430_200_500,"Sub(Rank(TsMean($big_vs_small_flow,30)),Rank(TsMean($ret_1d,30)))","Sub(Rank(TsMean($big_vs_small_flow,30)),Rank(TsMean($ret_1d,30)))",OK,0.9339138240574506,526,0.08794783907927518,0.6161716732766148,0.06278507687405886,0.4087819755739991,0.6406844106463878,0.053619509061340095,0.003997972379198375,0.06295550058702597,0.37893666566355455,0.06235844569998681,0.5357527114330436,0.03340870636451815,,2026-04-27 12:18:25
20240101_20260430_200_500,"Rank(TsIr($hl_range,50))","Rank(TsIr($hl_range,50))",OK,0.8977109515260323,508,0.028709919238257508,0.26653960173614877,0.0342418427731335,0.2961767355994199,0.6122047244094488,0.0274429362175465,0.0040601937207848885,0.023990011884343215,0.20162812632369345,0.05859854166327956,0.5679319395711501,0.033279983422867206,,2026-04-27 12:24:03
20240101_20260430_200_500,"SLog1p(TsIr($hl_range,50))","SLog1p(TsIr($hl_range,50))",OK,0.8977109515260323,508,0.030085650225662484,0.27877125330194746,0.0342418427731335,0.2961767355994199,0.6122047244094488,0.0274429362175465,0.0040601937207848885,0.023990011884343215,0.20162812632369345,0.05859854166327956,0.5679319395711501,0.033279983422867206,,2026-04-27 12:24:03
20240101_20260430_200_500,"Sub(Rank(TsMean($ret_1d,10)),Rank(TsMean($intraday_reversal,10)))","Sub(Rank(TsMean($ret_1d,10)),Rank(TsMean($intraday_reversal,10)))",OK,0.9686175942549372,547,-0.024451945275452545,-0.1539074437637381,-0.056335310001391685,-0.32241516017668237,0.3491773308957952,0.10782302622769636,-0.003405881092383992,-0.05126707506153775,-0.27870069795398267,-0.0697032048427514,-0.4747086525104675,0.03308871444656361,,2026-04-27 12:23:08
20240101_20260430_200_500,"Rank(TsCorr($hl_range,$vol_log,20))","Rank(TsCorr($hl_range,$vol_log,20))",OK,0.9658438061041292,538,-0.029505512978260894,-0.2780568210554871,-0.034265267702422,-0.28334275781758644,0.3828996282527881,0.0721358952705311,-0.005291565636877795,-0.025191604602657392,-0.19971266753957737,-0.05764974173134554,-0.5612685332484861,0.03235698598370635,,2026-04-27 12:23:44
20240101_20260430_200_500,"Rank(TsCorr($hl_range,$amount_log,20))","Rank(TsCorr($hl_range,$amount_log,20))",OK,0.9658438061041292,538,-0.033191822920265825,-0.28970590601780816,-0.037877505793144896,-0.2880559544345032,0.3736059479553903,0.07176644086963674,-0.006187582100466649,-0.0299301628995504,-0.21452976470538926,-0.0583592485524757,-0.5537801729007643,0.03231819475374867,,2026-04-27 12:23:41
20240101_20260430_200_500,"Rank(TsMean($ret_1d,10))","Rank(TsMean($ret_1d,10))",OK,0.9779084380610413,547,-0.05789987106009553,-0.4260174654720773,-0.06204389958623885,-0.3433533545770504,0.3436928702010969,0.10285461808590418,-0.0037408853584767663,-0.05945469296058463,-0.30978634324813725,-0.0688731492767228,-0.46906626165745136,0.032306070659807964,,2026-04-27 12:17:54
20240101_20260430_200_500,"Rank(TsWMA($ret_1d,40))","Rank(TsWMA($ret_1d,40))",OK,0.9163285457809695,517,-0.0392673735971248,-0.24294193931349017,-0.09041341688052729,-0.532841297200474,0.2862669245647969,0.06140461837622637,-0.006188517253692825,-0.10056227691941166,-0.5566713769444451,-0.06568834175223846,-0.48205348492604033,0.03166529406067927,,2026-04-27 12:23:00
20240101_20260430_200_500,"Div(Rank(TsMean($ret_1d,50)),Rank(TsMean($intraday_reversal,50)))","Div(Rank(TsMean($ret_1d,50)),Rank(TsMean($intraday_reversal,50)))",OK,0.8596229802513465,507,-0.03178784363042635,-0.2528117164823281,-0.05749282862166258,-0.3427681692149977,0.3629191321499014,0.0532460815710622,-0.00449321398993533,-0.05502090823943822,-0.30285987545242027,-0.06334912321847601,-0.49249395232738113,0.031199060070341518,,2026-04-27 12:23:19
